행정구역,2023년12월_전월인구수_남자인구수,2023년12월_전월인구수_여자인구수,2023년12월_전월인구수_계,2023년12월_당월인구수_남자인구수,2023년12월_당월인구수_여자인구수,2023년12월_당월인구수_계,2023년12월_인구증감_남자인구수,2023년12월_인구증감_여자인구수,2023년12월_인구증감_계,2024년01월_전월인구수_남자인구수,2024년01월_전월인구수_여자인구수,2024년01월_전월인구수_계,2024년01월_당월인구수_남자인구수,2024년01월_당월인구수_여자인구수,2024년01월_당월인구수_계,2024년01월_인구증감_남자인구수,2024년01월_인구증감_여자인구수,2024년01월_인구증감_계,2024년02월_전월인구수_남자인구수,2024년02월_전월인구수_여자인구수,2024년02월_전월인구수_계,2024년02월_당월인구수_남자인구수,2024년02월_당월인구수_여자인구수,2024년02월_당월인구수_계,2024년02월_인구증감_남자인구수,2024년02월_인구증감_여자인구수,2024년02월_인구증감_계,2024년03월_전월인구수_남자인구수,2024년03월_전월인구수_여자인구수,2024년03월_전월인구수_계,2024년03월_당월인구수_남자인구수,2024년03월_당월인구수_여자인구수,2024년03월_당월인구수_계,2024년03월_인구증감_남자인구수,2024년03월_인구증감_여자인구수,2024년03월_인구증감_계,2024년04월_전월인구수_남자인구수,2024년04월_전월인구수_여자인구수,2024년04월_전월인구수_계,2024년04월_당월인구수_남자인구수,2024년04월_당월인구수_여자인구수,2024년04월_당월인구수_계,2024년04월_인구증감_남자인구수,2024년04월_인구증감_여자인구수,2024년04월_인구증감_계,2024년05월_전월인구수_남자인구수,2024년05월_전월인구수_여자인구수,2024년05월_전월인구수_계,2024년05월_당월인구수_남자인구수,2024년05월_당월인구수_여자인구수,2024년05월_당월인구수_계,2024년05월_인구증감_남자인구수,2024년05월_인구증감_여자인구수,2024년05월_인구증감_계,2024년06월_전월인구수_남자인구수,2024년06월_전월인구수_여자인구수,2024년06월_전월인구수_계,2024년06월_당월인구수_남자인구수,2024년06월_당월인구수_여자인구수,2024년06월_당월인구수_계,2024년06월_인구증감_남자인구수,2024년06월_인구증감_여자인구수,2024년06월_인구증감_계,2024년07월_전월인구수_남자인구수,2024년07월_전월인구수_여자인구수,2024년07월_전월인구수_계,2024년07월_당월인구수_남자인구수,2024년07월_당월인구수_여자인구수,2024년07월_당월인구수_계,2024년07월_인구증감_남자인구수,2024년07월_인구증감_여자인구수,2024년07월_인구증감_계,2024년08월_전월인구수_남자인구수,2024년08월_전월인구수_여자인구수,2024년08월_전월인구수_계,2024년08월_당월인구수_남자인구수,2024년08월_당월인구수_여자인구수,2024년08월_당월인구수_계,2024년08월_인구증감_남자인구수,2024년08월_인구증감_여자인구수,2024년08월_인구증감_계,2024년09월_전월인구수_남자인구수,2024년09월_전월인구수_여자인구수,2024년09월_전월인구수_계,2024년09월_당월인구수_남자인구수,2024년09월_당월인구수_여자인구수,2024년09월_당월인구수_계,2024년09월_인구증감_남자인구수,2024년09월_인구증감_여자인구수,2024년09월_인구증감_계,2024년10월_전월인구수_남자인구수,2024년10월_전월인구수_여자인구수,2024년10월_전월인구수_계,2024년10월_당월인구수_남자인구수,2024년10월_당월인구수_여자인구수,2024년10월_당월인구수_계,2024년10월_인구증감_남자인구수,2024년10월_인구증감_여자인구수,2024년10월_인구증감_계,2024년11월_전월인구수_남자인구수,2024년11월_전월인구수_여자인구수,2024년11월_전월인구수_계,2024년11월_당월인구수_남자인구수,2024년11월_당월인구수_여자인구수,2024년11월_당월인구수_계,2024년11월_인구증감_남자인구수,2024년11월_인구증감_여자인구수,2024년11월_인구증감_계,2024년12월_전월인구수_남자인구수,2024년12월_전월인구수_여자인구수,2024년12월_전월인구수_계,2024년12월_당월인구수_남자인구수,2024년12월_당월인구수_여자인구수,2024년12월_당월인구수_계,2024년12월_인구증감_남자인구수,2024년12월_인구증감_여자인구수,2024년12월_인구증감_계,2025년01월_전월인구수_남자인구수,2025년01월_전월인구수_여자인구수,2025년01월_전월인구수_계,2025년01월_당월인구수_남자인구수,2025년01월_당월인구수_여자인구수,2025년01월_당월인구수_계,2025년01월_인구증감_남자인구수,2025년01월_인구증감_여자인구수,2025년01월_인구증감_계,2025년02월_전월인구수_남자인구수,2025년02월_전월인구수_여자인구수,2025년02월_전월인구수_계,2025년02월_당월인구수_남자인구수,2025년02월_당월인구수_여자인구수,2025년02월_당월인구수_계,2025년02월_인구증감_남자인구수,2025년02월_인구증감_여자인구수,2025년02월_인구증감_계,2025년03월_전월인구수_남자인구수,2025년03월_전월인구수_여자인구수,2025년03월_전월인구수_계,2025년03월_당월인구수_남자인구수,2025년03월_당월인구수_여자인구수,2025년03월_당월인구수_계,2025년03월_인구증감_남자인구수,2025년03월_인구증감_여자인구수,2025년03월_인구증감_계,2025년04월_전월인구수_남자인구수,2025년04월_전월인구수_여자인구수,2025년04월_전월인구수_계,2025년04월_당월인구수_남자인구수,2025년04월_당월인구수_여자인구수,2025년04월_당월인구수_계,2025년04월_인구증감_남자인구수,2025년04월_인구증감_여자인구수,2025년04월_인구증감_계,2025년05월_전월인구수_남자인구수,2025년05월_전월인구수_여자인구수,2025년05월_전월인구수_계,2025년05월_당월인구수_남자인구수,2025년05월_당월인구수_여자인구수,2025년05월_당월인구수_계,2025년05월_인구증감_남자인구수,2025년05월_인구증감_여자인구수,2025년05월_인구증감_계,2025년06월_전월인구수_남자인구수,2025년06월_전월인구수_여자인구수,2025년06월_전월인구수_계,2025년06월_당월인구수_남자인구수,2025년06월_당월인구수_여자인구수,2025년06월_당월인구수_계,2025년06월_인구증감_남자인구수,2025년06월_인구증감_여자인구수,2025년06월_인구증감_계,2025년07월_전월인구수_남자인구수,2025년07월_전월인구수_여자인구수,2025년07월_전월인구수_계,2025년07월_당월인구수_남자인구수,2025년07월_당월인구수_여자인구수,2025년07월_당월인구수_계,2025년07월_인구증감_남자인구수,2025년07월_인구증감_여자인구수,2025년07월_인구증감_계,2025년08월_전월인구수_남자인구수,2025년08월_전월인구수_여자인구수,2025년08월_전월인구수_계,2025년08월_당월인구수_남자인구수,2025년08월_당월인구수_여자인구수,2025년08월_당월인구수_계,2025년08월_인구증감_남자인구수,2025년08월_인구증감_여자인구수,2025년08월_인구증감_계,2025년09월_전월인구수_남자인구수,2025년09월_전월인구수_여자인구수,2025년09월_전월인구수_계,2025년09월_당월인구수_남자인구수,2025년09월_당월인구수_여자인구수,2025년09월_당월인구수_계,2025년09월_인구증감_남자인구수,2025년09월_인구증감_여자인구수,2025년09월_인구증감_계,2025년10월_전월인구수_남자인구수,2025년10월_전월인구수_여자인구수,2025년10월_전월인구수_계,2025년10월_당월인구수_남자인구수,2025년10월_당월인구수_여자인구수,2025년10월_당월인구수_계,2025년10월_인구증감_남자인구수,2025년10월_인구증감_여자인구수,2025년10월_인구증감_계,2025년11월_전월인구수_남자인구수,2025년11월_전월인구수_여자인구수,2025년11월_전월인구수_계,2025년11월_당월인구수_남자인구수,2025년11월_당월인구수_여자인구수,2025년11월_당월인구수_계,2025년11월_인구증감_남자인구수,2025년11월_인구증감_여자인구수,2025년11월_인구증감_계,2025년12월_전월인구수_남자인구수,2025년12월_전월인구수_여자인구수,2025년12월_전월인구수_계,2025년12월_당월인구수_남자인구수,2025년12월_당월인구수_여자인구수,2025년12월_당월인구수_계,2025년12월_인구증감_남자인구수,2025년12월_인구증감_여자인구수,2025년12월_인구증감_계
전국  (1000000000),"25,572,695","25,764,381","51,337,076","25,565,736","25,759,593","51,325,329","-6,959","-4,788","-11,747","25,565,736","25,759,593","51,325,329","25,558,944","25,754,968","51,313,912","-6,792","-4,625","-11,417","25,558,944","25,754,968","51,313,912","25,553,189","25,750,499","51,303,688","-5,755","-4,469","-10,224","25,553,189","25,750,499","51,303,688","25,547,370","25,746,564","51,293,934","-5,819","-3,935","-9,754","25,547,370","25,746,564","51,293,934","25,541,855","25,743,298","51,285,153","-5,515","-3,266","-8,781","25,541,855","25,743,298","51,285,153","25,536,793","25,740,554","51,277,347","-5,062","-2,744","-7,806","25,536,793","25,740,554","51,277,347","25,532,696","25,738,784","51,271,480","-4,097","-1,770","-5,867","25,532,696","25,738,784","51,271,480","25,528,507","25,736,731","51,265,238","-4,189","-2,053","-6,242","25,528,507","25,736,731","51,265,238","25,522,808","25,733,703","51,256,511","-5,699","-3,028","-8,727","25,522,808","25,733,703","51,256,511","25,517,454","25,730,779","51,248,233","-5,354","-2,924","-8,278","25,517,454","25,730,779","51,248,233","25,511,290","25,727,160","51,238,450","-6,164","-3,619","-9,783","25,511,290","25,727,160","51,238,450","25,504,176","25,722,581","51,226,757","-7,114","-4,579","-11,693","25,504,176","25,722,581","51,226,757","25,498,324","25,718,897","51,217,221","-5,852","-3,684","-9,536","25,498,324","25,718,897","51,217,221","25,492,996","25,714,878","51,207,874","-5,328","-4,019","-9,347","25,492,996","25,714,878","51,207,874","25,484,498","25,707,319","51,191,817","-8,498","-7,559","-16,057","25,484,498","25,707,319","51,191,817","25,479,498","25,703,838","51,183,336","-5,000","-3,481","-8,481","25,479,498","25,703,838","51,183,336","25,474,633","25,701,092","51,175,725","-4,865","-2,746","-7,611","25,474,633","25,701,092","51,175,725","25,470,398","25,698,750","51,169,148","-4,235","-2,342","-6,577","25,470,398","25,698,750","51,169,148","25,467,115","25,697,467","51,164,582","-3,283","-1,283","-4,566","25,467,115","25,697,467","51,164,582","25,463,429","25,696,460","51,159,889","-3,686","-1,007","-4,693","25,463,429","25,696,460","51,159,889","25,459,789","25,695,192","51,154,981","-3,640","-1,268","-4,908","25,459,789","25,695,192","51,154,981","25,455,867","25,693,679","51,149,546","-3,922","-1,513","-5,435","25,455,867","25,693,679","51,149,546","25,451,723","25,691,698","51,143,421","-4,144","-1,981","-6,125","25,451,723","25,691,698","51,143,421","25,443,016","25,685,514","51,128,530","-8,707","-6,184","-14,891","25,443,016","25,685,514","51,128,530","25,436,665","25,680,713","51,117,378","-6,351","-4,801","-11,152"
서울특별시  (1100000000),"4,543,055","4,847,870","9,390,925","4,540,031","4,846,003","9,386,034","-3,024","-1,867","-4,891","4,540,031","4,846,003","9,386,034","4,538,354","4,845,971","9,384,325","-1,677",-32,"-1,709","4,538,354","4,845,971","9,384,325","4,538,306","4,848,399","9,386,705",-48,"2,428","2,380","4,538,306","4,848,399","9,386,705","4,536,128","4,848,611","9,384,739","-2,178",212,"-1,966","4,536,128","4,848,611","9,384,739","4,532,115","4,846,154","9,378,269","-4,013","-2,457","-6,470","4,532,115","4,846,154","9,378,269","4,528,234","4,843,696","9,371,930","-3,881","-2,458","-6,339","4,528,234","4,843,696","9,371,930","4,524,862","4,841,421","9,366,283","-3,372","-2,275","-5,647","4,524,862","4,841,421","9,366,283","4,521,316","4,839,084","9,360,400","-3,546","-2,337","-5,883","4,521,316","4,839,084","9,360,400","4,518,536","4,837,265","9,355,801","-2,780","-1,819","-4,599","4,518,536","4,837,265","9,355,801","4,515,791","4,835,204","9,350,995","-2,745","-2,061","-4,806","4,515,791","4,835,204","9,350,995","4,511,734","4,831,570","9,343,304","-4,057","-3,634","-7,691","4,511,734","4,831,570","9,343,304","4,507,664","4,827,831","9,335,495","-4,070","-3,739","-7,809","4,507,664","4,827,831","9,335,495","4,505,355","4,826,473","9,331,828","-2,309","-1,358","-3,667","4,505,355","4,826,473","9,331,828","4,504,432","4,826,226","9,330,658",-923,-247,"-1,170","4,504,432","4,826,226","9,330,658","4,505,412","4,829,416","9,334,828",980,"3,190","4,170","4,505,412","4,829,416","9,334,828","4,504,618","4,831,116","9,335,734",-794,"1,700",906,"4,504,618","4,831,116","9,335,734","4,501,804","4,830,056","9,331,860","-2,814","-1,060","-3,874","4,501,804","4,830,056","9,331,860","4,499,145","4,828,897","9,328,042","-2,659","-1,159","-3,818","4,499,145","4,828,897","9,328,042","4,497,354","4,828,262","9,325,616","-1,791",-635,"-2,426","4,497,354","4,828,262","9,325,616","4,495,747","4,827,745","9,323,492","-1,607",-517,"-2,124","4,495,747","4,827,745","9,323,492","4,494,474","4,827,389","9,321,863","-1,273",-356,"-1,629","4,494,474","4,827,389","9,321,863","4,491,997","4,826,503","9,318,500","-2,477",-886,"-3,363","4,491,997","4,826,503","9,318,500","4,489,067","4,824,465","9,313,532","-2,930","-2,038","-4,968","4,489,067","4,824,465","9,313,532","4,484,604","4,821,074","9,305,678","-4,463","-3,391","-7,854","4,484,604","4,821,074","9,305,678","4,481,099","4,818,449","9,299,548","-3,505","-2,625","-6,130"
서울특별시 종로구 (1111000000),"67,393","72,104","139,497","67,306","72,111","139,417",-87,7,-80,"67,306","72,111","139,417","67,240","72,138","139,378",-66,27,-39,"67,240","72,138","139,378","67,266","72,205","139,471",26,67,93,"67,266","72,205","139,471","67,228","72,270","139,498",-38,65,27,"67,228","72,270","139,498","67,138","72,294","139,432",-90,24,-66,"67,138","72,294","139,432","67,105","72,238","139,343",-33,-56,-89,"67,105","72,238","139,343","67,005","72,184","139,189",-100,-54,-154,"67,005","72,184","139,189","66,956","72,137","139,093",-49,-47,-96,"66,956","72,137","139,093","66,851","72,078","138,929",-105,-59,-164,"66,851","72,078","138,929","66,846","72,033","138,879",-5,-45,-50,"66,846","72,033","138,879","66,783","71,977","138,760",-63,-56,-119,"66,783","71,977","138,760","66,673","71,904","138,577",-110,-73,-183,"66,673","71,904","138,577","66,570","71,766","138,336",-103,-138,-241,"66,570","71,766","138,336","66,514","71,694","138,208",-56,-72,-128,"66,514","71,694","138,208","66,531","71,746","138,277",17,52,69,"66,531","71,746","138,277","66,450","71,734","138,184",-81,-12,-93,"66,450","71,734","138,184","66,413","71,683","138,096",-37,-51,-88,"66,413","71,683","138,096","66,336","71,713","138,049",-77,30,-47,"66,336","71,713","138,049","66,315","71,700","138,015",-21,-13,-34,"66,315","71,700","138,015","66,201","71,656","137,857",-114,-44,-158,"66,201","71,656","137,857","66,057","71,526","137,583",-144,-130,-274,"66,057","71,526","137,583","66,032","71,513","137,545",-25,-13,-38,"66,032","71,513","137,545","65,925","71,524","137,449",-107,11,-96,"65,925","71,524","137,449","65,805","71,441","137,246",-120,-83,-203,"65,805","71,441","137,246","65,668","71,380","137,048",-137,-61,-198
서울특별시 중구 (1114000000),"58,631","62,599","121,230","58,659","62,653","121,312",28,54,82,"58,659","62,653","121,312","58,651","62,671","121,322",-8,18,10,"58,651","62,671","121,322","58,711","62,708","121,419",60,37,97,"58,711","62,708","121,419","58,767","62,835","121,602",56,127,183,"58,767","62,835","121,602","58,737","62,870","121,607",-30,35,5,"58,737","62,870","121,607","58,673","62,858","121,531",-64,-12,-76,"58,673","62,858","121,531","58,582","62,893","121,475",-91,35,-56,"58,582","62,893","121,475","58,546","62,861","121,407",-36,-32,-68,"58,546","62,861","121,407","58,512","62,907","121,419",-34,46,12,"58,512","62,907","121,419","58,447","62,877","121,324",-65,-30,-95,"58,447","62,877","121,324","58,405","62,819","121,224",-42,-58,-100,"58,405","62,819","121,224","58,247","62,684","120,931",-158,-135,-293,"58,247","62,684","120,931","58,015","62,529","120,544",-232,-155,-387,"58,015","62,529","120,544","57,948","62,377","120,325",-67,-152,-219,"57,948","62,377","120,325","57,833","62,286","120,119",-115,-91,-206,"57,833","62,286","120,119","57,734","62,116","119,850",-99,-170,-269,"57,734","62,116","119,850","57,556","62,045","119,601",-178,-71,-249,"57,556","62,045","119,601","57,376","61,960","119,336",-180,-85,-265,"57,376","61,960","119,336","57,267","61,830","119,097",-109,-130,-239,"57,267","61,830","119,097","57,098","61,763","118,861",-169,-67,-236,"57,098","61,763","118,861","56,981","61,640","118,621",-117,-123,-240,"56,981","61,640","118,621","56,869","61,589","118,458",-112,-51,-163,"56,869","61,589","118,458","56,829","61,502","118,331",-40,-87,-127,"56,829","61,502","118,331","56,703","61,405","118,108",-126,-97,-223,"56,703","61,405","118,108","56,560","61,245","117,805",-143,-160,-303
서울특별시 용산구 (1117000000),"102,925","111,456","214,381","102,312","110,839","213,151",-613,-617,"-1,230","102,312","110,839","213,151","101,793","110,382","212,175",-519,-457,-976,"101,793","110,382","212,175","101,262","109,985","211,247",-531,-397,-928,"101,262","109,985","211,247","100,488","109,361","209,849",-774,-624,"-1,398","100,488","109,361","209,849","99,566","108,403","207,969",-922,-958,"-1,880","99,566","108,403","207,969","98,813","107,662","206,475",-753,-741,"-1,494","98,813","107,662","206,475","98,564","107,497","206,061",-249,-165,-414,"98,564","107,497","206,061","98,357","107,246","205,603",-207,-251,-458,"98,357","107,246","205,603","98,242","107,148","205,390",-115,-98,-213,"98,242","107,148","205,390","98,118","107,027","205,145",-124,-121,-245,"98,118","107,027","205,145","97,840","106,623","204,463",-278,-404,-682,"97,840","106,623","204,463","97,628","106,451","204,079",-212,-172,-384,"97,628","106,451","204,079","97,469","106,385","203,854",-159,-66,-225,"97,469","106,385","203,854","97,392","106,335","203,727",-77,-50,-127,"97,392","106,335","203,727","97,264","106,286","203,550",-128,-49,-177,"97,264","106,286","203,550","97,137","106,268","203,405",-127,-18,-145,"97,137","106,268","203,405","97,097","106,253","203,350",-40,-15,-55,"97,097","106,253","203,350","97,054","106,233","203,287",-43,-20,-63,"97,054","106,233","203,287","96,925","106,202","203,127",-129,-31,-160,"96,925","106,202","203,127","96,826","106,145","202,971",-99,-57,-156,"96,826","106,145","202,971","96,688","106,075","202,763",-138,-70,-208,"96,688","106,075","202,763","96,590","106,046","202,636",-98,-29,-127,"96,590","106,046","202,636","96,459","106,048","202,507",-131,2,-129,"96,459","106,048","202,507","96,205","105,940","202,145",-254,-108,-362,"96,205","105,940","202,145","96,065","105,829","201,894",-140,-111,-251
서울특별시 성동구 (1120000000),"134,760","142,941","277,701","134,519","142,842","277,361",-241,-99,-340,"134,519","142,842","277,361","134,390","142,700","277,090",-129,-142,-271,"134,390","142,700","277,090","134,278","142,674","276,952",-112,-26,-138,"134,278","142,674","276,952","134,232","142,732","276,964",-46,58,12,"134,232","142,732","276,964","134,161","142,686","276,847",-71,-46,-117,"134,161","142,686","276,847","134,096","142,671","276,767",-65,-15,-80,"134,096","142,671","276,767","133,939","142,658","276,597",-157,-13,-170,"133,939","142,658","276,597","133,758","142,436","276,194",-181,-222,-403,"133,758","142,436","276,194","133,520","142,258","275,778",-238,-178,-416,"133,520","142,258","275,778","133,271","142,132","275,403",-249,-126,-375,"133,271","142,132","275,403","133,097","141,869","274,966",-174,-263,-437,"133,097","141,869","274,966","132,769","141,518","274,287",-328,-351,-679,"132,769","141,518","274,287","132,409","141,260","273,669",-360,-258,-618,"132,409","141,260","273,669","132,354","141,195","273,549",-55,-65,-120,"132,354","141,195","273,549","132,290","141,287","273,577",-64,92,28,"132,290","141,287","273,577","132,223","141,300","273,523",-67,13,-54,"132,223","141,300","273,523","132,167","141,204","273,371",-56,-96,-152,"132,167","141,204","273,371","132,117","141,188","273,305",-50,-16,-66,"132,117","141,188","273,305","132,030","141,165","273,195",-87,-23,-110,"132,030","141,165","273,195","131,952","141,027","272,979",-78,-138,-216,"131,952","141,027","272,979","132,198","141,323","273,521",246,296,542,"132,198","141,323","273,521","132,518","141,677","274,195",320,354,674,"132,518","141,677","274,195","132,555","141,869","274,424",37,192,229,"132,555","141,869","274,424","132,581","141,969","274,550",26,100,126,"132,581","141,969","274,550","132,541","142,065","274,606",-40,96,56
서울특별시 광진구 (1121500000),"161,430","174,424","335,854","161,277","174,277","335,554",-153,-147,-300,"161,277","174,277","335,554","161,154","174,181","335,335",-123,-96,-219,"161,154","174,181","335,335","161,022","174,178","335,200",-132,-3,-135,"161,022","174,178","335,200","160,888","174,217","335,105",-134,39,-95,"160,888","174,217","335,105","160,670","174,120","334,790",-218,-97,-315,"160,670","174,120","334,790","160,473","173,948","334,421",-197,-172,-369,"160,473","173,948","334,421","160,329","173,830","334,159",-144,-118,-262,"160,329","173,830","334,159","160,153","173,793","333,946",-176,-37,-213,"160,153","173,793","333,946","160,056","173,668","333,724",-97,-125,-222,"160,056","173,668","333,724","159,948","173,455","333,403",-108,-213,-321,"159,948","173,455","333,403","159,732","173,210","332,942",-216,-245,-461,"159,732","173,210","332,942","159,576","172,995","332,571",-156,-215,-371,"159,576","172,995","332,571","159,237","172,726","331,963",-339,-269,-608,"159,237","172,726","331,963","158,992","172,597","331,589",-245,-129,-374,"158,992","172,597","331,589","158,888","172,525","331,413",-104,-72,-176,"158,888","172,525","331,413","159,056","172,878","331,934",168,353,521,"159,056","172,878","331,934","159,310","173,178","332,488",254,300,554,"159,310","173,178","332,488","159,448","173,452","332,900",138,274,412,"159,448","173,452","332,900","159,503","173,593","333,096",55,141,196,"159,503","173,593","333,096","159,324","173,509","332,833",-179,-84,-263,"159,324","173,509","332,833","159,190","173,307","332,497",-134,-202,-336,"159,190","173,307","332,497","158,955","173,117","332,072",-235,-190,-425,"158,955","173,117","332,072","158,814","172,972","331,786",-141,-145,-286,"158,814","172,972","331,786","158,635","172,840","331,475",-179,-132,-311,"158,635","172,840","331,475","158,534","172,633","331,167",-101,-207,-308
서울특별시 동대문구 (1123000000),"167,556","173,954","341,510","167,346","173,803","341,149",-210,-151,-361,"167,346","173,803","341,149","167,230","173,753","340,983",-116,-50,-166,"167,230","173,753","340,983","167,462","174,158","341,620",232,405,637,"167,462","174,158","341,620","167,574","174,413","341,987",112,255,367,"167,574","174,413","341,987","167,523","174,458","341,981",-51,45,-6,"167,523","174,458","341,981","167,318","174,362","341,680",-205,-96,-301,"167,318","174,362","341,680","167,147","174,198","341,345",-171,-164,-335,"167,147","174,198","341,345","166,970","174,116","341,086",-177,-82,-259,"166,970","174,116","341,086","166,825","174,068","340,893",-145,-48,-193,"166,825","174,068","340,893","166,693","173,993","340,686",-132,-75,-207,"166,693","173,993","340,686","166,445","173,854","340,299",-248,-139,-387,"166,445","173,854","340,299","166,095","173,516","339,611",-350,-338,-688,"166,095","173,516","339,611","165,620","173,115","338,735",-475,-401,-876,"165,620","173,115","338,735","165,648","173,174","338,822",28,59,87,"165,648","173,174","338,822","166,519","174,190","340,709",871,"1,016","1,887","166,519","174,190","340,709","167,280","174,943","342,223",761,753,"1,514","167,280","174,943","342,223","167,276","175,040","342,316",-4,97,93,"167,276","175,040","342,316","167,256","175,002","342,258",-20,-38,-58,"167,256","175,002","342,258","167,257","175,097","342,354",1,95,96,"167,257","175,097","342,354","167,750","175,945","343,695",493,848,"1,341","167,750","175,945","343,695","168,108","176,373","344,481",358,428,786,"168,108","176,373","344,481","168,148","176,424","344,572",40,51,91,"168,148","176,424","344,572","167,961","176,396","344,357",-187,-28,-215,"167,961","176,396","344,357","167,845","176,362","344,207",-116,-34,-150,"167,845","176,362","344,207","168,825","177,416","346,241",980,"1,054","2,034"
서울특별시 중랑구 (1126000000),"187,262","194,596","381,858","187,372","194,783","382,155",110,187,297,"187,372","194,783","382,155","187,392","194,892","382,284",20,109,129,"187,392","194,892","382,284","187,319","195,003","382,322",-73,111,38,"187,319","195,003","382,322","187,102","194,864","381,966",-217,-139,-356,"187,102","194,864","381,966","186,915","194,753","381,668",-187,-111,-298,"186,915","194,753","381,668","186,797","194,701","381,498",-118,-52,-170,"186,797","194,701","381,498","186,600","194,526","381,126",-197,-175,-372,"186,600","194,526","381,126","186,434","194,478","380,912",-166,-48,-214,"186,434","194,478","380,912","186,248","194,364","380,612",-186,-114,-300,"186,248","194,364","380,612","186,052","194,301","380,353",-196,-63,-259,"186,052","194,301","380,353","185,834","194,143","379,977",-218,-158,-376,"185,834","194,143","379,977","185,591","193,950","379,541",-243,-193,-436,"185,591","193,950","379,541","185,473","193,801","379,274",-118,-149,-267,"185,473","193,801","379,274","185,333","193,638","378,971",-140,-163,-303,"185,333","193,638","378,971","185,097","193,268","378,365",-236,-370,-606,"185,097","193,268","378,365","184,934","193,133","378,067",-163,-135,-298,"184,934","193,133","378,067","184,714","193,054","377,768",-220,-79,-299,"184,714","193,054","377,768","184,552","193,014","377,566",-162,-40,-202,"184,552","193,014","377,566","184,512","192,961","377,473",-40,-53,-93,"184,512","192,961","377,473","184,437","192,897","377,334",-75,-64,-139,"184,437","192,897","377,334","184,356","192,922","377,278",-81,25,-56,"184,356","192,922","377,278","184,274","192,827","377,101",-82,-95,-177,"184,274","192,827","377,101","184,215","192,839","377,054",-59,12,-47,"184,215","192,839","377,054","184,127","192,871","376,998",-88,32,-56,"184,127","192,871","376,998","184,055","192,861","376,916",-72,-10,-82
서울특별시 성북구 (1129000000),"204,546","221,730","426,276","204,171","221,431","425,602",-375,-299,-674,"204,171","221,431","425,602","203,824","221,092","424,916",-347,-339,-686,"203,824","221,092","424,916","203,753","221,100","424,853",-71,8,-63,"203,753","221,100","424,853","203,700","221,181","424,881",-53,81,28,"203,700","221,181","424,881","203,536","221,127","424,663",-164,-54,-218,"203,536","221,127","424,663","203,357","220,958","424,315",-179,-169,-348,"203,357","220,958","424,315","203,323","220,871","424,194",-34,-87,-121,"203,323","220,871","424,194","203,182","220,664","423,846",-141,-207,-348,"203,182","220,664","423,846","203,148","220,594","423,742",-34,-70,-104,"203,148","220,594","423,742","202,975","220,464","423,439",-173,-130,-303,"202,975","220,464","423,439","202,624","220,072","422,696",-351,-392,-743,"202,624","220,072","422,696","202,309","219,832","422,141",-315,-240,-555,"202,309","219,832","422,141","202,003","219,557","421,560",-306,-275,-581,"202,003","219,557","421,560","201,577","219,133","420,710",-426,-424,-850,"201,577","219,133","420,710","201,408","219,163","420,571",-169,30,-139,"201,408","219,163","420,571","201,254","219,126","420,380",-154,-37,-191,"201,254","219,126","420,380","201,755","219,844","421,599",501,718,"1,219","201,755","219,844","421,599","202,387","220,658","423,045",632,814,"1,446","202,387","220,658","423,045","202,828","221,202","424,030",441,544,985,"202,828","221,202","424,030","202,853","221,394","424,247",25,192,217,"202,853","221,394","424,247","202,781","221,348","424,129",-72,-46,-118,"202,781","221,348","424,129","202,601","221,390","423,991",-180,42,-138,"202,601","221,390","423,991","202,481","221,224","423,705",-120,-166,-286,"202,481","221,224","423,705","202,278","221,035","423,313",-203,-189,-392,"202,278","221,035","423,313","201,894","220,665","422,559",-384,-370,-754
