시도,patients_2024,claims_2024,total_units_2024,total_amount_2024,sido
강원,45827768,112321847,183743859.0,1849872219844.0,강원특별자치도
경기,424197833,1028656239,1695085301.0,18048176068984.0,경기도
경남,103091398,258507856,503596686.0,4729020055238.0,경상남도
경북,69739685,175175307,324466682.0,3023640048744.0,경상북도
광주,59889668,133947664,304711766.0,2852650621196.0,광주광역시
대구,92335859,229800659,405802137.0,4329810452721.0,대구광역시
대전,54295680,136693685,238367085.0,2506704032465.0,대전광역시
부산,124295398,328135499,639354841.0,6212786301386.0,부산광역시
서울,411705671,1015247397,1601710456.0,18491335061925.0,서울특별시
세종,11053497,26440303,35931239.0,392226750815.0,세종특별자치시
울산,36618820,90863609,163115005.0,1627062709731.0,울산광역시
인천,96749403,237805633,408320841.0,4309184823779.0,인천광역시
전남,56183741,144263585,303895423.0,2675262235549.0,전라남도
전북,59331567,153366152,310247024.0,2893146106809.0,전북특별자치도
제주,20174228,54920299,82260304.0,811051001115.0,제주특별자치도
충남,61677066,153800989,260442455.0,2557179949924.0,충청남도
충북,48376133,121851373,199629078.0,1956978738126.0,충청북도
