sido,pop_change_2024,pop_avg_2024,pop_end_2024_dec,patients_2024,claims_2024,total_units_2024,total_amount_2024,patients_per_1k,amount_per_capita,amount_per_patient
강원특별자치도,-10041.0,1521965.3333333333,1517766.0,45827768,112321847,183743859.0,1849872219844.0,30110.914484254572,1215449.6422021003,40365.74986248512
경기도,63864.0,13664972.416666666,13694685.0,424197833,1028656239,1695085301.0,18048176068984.0,31042.714179402326,1320761.983168828,42546.601290591694
경상남도,-22778.0,3236460.9166666665,3228380.0,103091398,258507856,503596686.0,4729020055238.0,31853.126193835546,1461170.1413989475,45872.11102945757
경상북도,-22940.0,2541991.0,2531384.0,69739685,175175307,324466682.0,3023640048744.0,27435.06369613425,1189477.0865608887,43356.08984674938
광주광역시,-10815.0,1413230.6666666667,1408422.0,59889668,133947664,304711766.0,2852650621196.0,42377.843484856916,2018531.5026629292,47631.76548575958
대구광역시,-11331.0,2367545.0833333335,2363629.0,92335859,229800659,405802137.0,4329810452721.0,39000.676122288554,1828818.586476477,46891.97132742329
대전광역시,-3059.0,1440578.75,1439157.0,54295680,136693685,238367085.0,2506704032465.0,37690.185281436374,1740067.3392308473,46167.65150496319
부산광역시,-26764.0,3279175.25,3266598.0,124295398,328135499,639354841.0,6212786301386.0,37904.4694241334,1894618.5634287158,49984.041254576456
서울특별시,-54206.0,9362506.166666666,9331828.0,411705671,1015247397,1601710456.0,18491335061925.0,43973.87448093715,1975041.1623502804,44913.96734227885
세종특별자치시,4160.0,388654.5833333333,390685.0,11053497,26440303,35931239.0,392226750815.0,28440.4133490428,1009191.111168765,35484.403787778654
울산광역시,-5612.0,1100133.0833333333,1098049.0,36618820,90863609,163115005.0,1627062709731.0,33285.809285043324,1478968.9850986968,44432.41780404175
인천광역시,23600.0,3011741.0833333335,3021010.0,96749403,237805633,408320841.0,4309184823779.0,32124.077177617055,1430795.245854827,44539.65285738249
전라남도,-15398.0,1794652.0833333333,1788819.0,56183741,144263585,303895423.0,2675262235549.0,31306.202200287196,1490685.7214240923,47616.30656721488
전북특별자치도,-16067.0,1745261.4166666667,1738690.0,59331567,153366152,310247024.0,2893146106809.0,33995.80511744731,1657715.044394161,48762.3410790583
제주특별자치도,-4884.0,672101.6666666666,670368.0,20174228,54920299,82260304.0,811051001115.0,30016.631412410326,1206738.5655171217,40202.331465422125
충청남도,6455.0,2134405.5833333335,2136574.0,61677066,153800989,260442455.0,2557179949924.0,28896.60075929805,1198075.9279735454,41460.7911135721
충청북도,-2292.0,1591118.5833333333,1591177.0,48376133,121851373,199629078.0,1956978738126.0,30403.851420460334,1229938.961573941,40453.393373257015
