sido,month,pop_end,pop_change
전국,2024년01월,51313912.0,-11417.0
전국,2024년02월,51303688.0,-10224.0
전국,2024년03월,51293934.0,-9754.0
전국,2024년04월,51285153.0,-8781.0
전국,2024년05월,51277347.0,-7806.0
전국,2024년06월,51271480.0,-5867.0
전국,2024년07월,51265238.0,-6242.0
전국,2024년08월,51256511.0,-8727.0
전국,2024년09월,51248233.0,-8278.0
전국,2024년10월,51238450.0,-9783.0
전국,2024년11월,51226757.0,-11693.0
전국,2024년12월,51217221.0,-9536.0
서울특별시,2024년01월,9384325.0,-1709.0
서울특별시,2024년02월,9386705.0,2380.0
서울특별시,2024년03월,9384739.0,-1966.0
서울특별시,2024년04월,9378269.0,-6470.0
서울특별시,2024년05월,9371930.0,-6339.0
서울특별시,2024년06월,9366283.0,-5647.0
서울특별시,2024년07월,9360400.0,-5883.0
서울특별시,2024년08월,9355801.0,-4599.0
서울특별시,2024년09월,9350995.0,-4806.0
서울특별시,2024년10월,9343304.0,-7691.0
서울특별시,2024년11월,9335495.0,-7809.0
서울특별시,2024년12월,9331828.0,-3667.0
부산광역시,2024년01월,3290964.0,-2398.0
부산광역시,2024년02월,3289401.0,-1563.0
부산광역시,2024년03월,3287292.0,-2109.0
부산광역시,2024년04월,3284947.0,-2345.0
부산광역시,2024년05월,3282751.0,-2196.0
부산광역시,2024년06월,3280749.0,-2002.0
부산광역시,2024년07월,3278280.0,-2469.0
부산광역시,2024년08월,3275593.0,-2687.0
부산광역시,2024년09월,3273473.0,-2120.0
부산광역시,2024년10월,3271062.0,-2411.0
부산광역시,2024년11월,3268993.0,-2069.0
부산광역시,2024년12월,3266598.0,-2395.0
대구광역시,2024년01월,2373844.0,-1116.0
대구광역시,2024년02월,2372008.0,-1836.0
대구광역시,2024년03월,2369962.0,-2046.0
대구광역시,2024년04월,2368670.0,-1292.0
대구광역시,2024년05월,2367803.0,-867.0
대구광역시,2024년06월,2367183.0,-620.0
대구광역시,2024년07월,2366660.0,-523.0
대구광역시,2024년08월,2366033.0,-627.0
대구광역시,2024년09월,2365523.0,-510.0
대구광역시,2024년10월,2364892.0,-631.0
대구광역시,2024년11월,2364334.0,-558.0
대구광역시,2024년12월,2363629.0,-705.0
인천광역시,2024년01월,3000454.0,3044.0
인천광역시,2024년02월,3003150.0,2696.0
인천광역시,2024년03월,3006045.0,2895.0
인천광역시,2024년04월,3008484.0,2439.0
인천광역시,2024년05월,3009873.0,1389.0
인천광역시,2024년06월,3011073.0,1200.0
인천광역시,2024년07월,3012997.0,1924.0
인천광역시,2024년08월,3014770.0,1773.0
인천광역시,2024년09월,3016520.0,1750.0
인천광역시,2024년10월,3017928.0,1408.0
인천광역시,2024년11월,3018589.0,661.0
인천광역시,2024년12월,3021010.0,2421.0
광주광역시,2024년01월,1418241.0,-996.0
광주광역시,2024년02월,1417031.0,-1210.0
광주광역시,2024년03월,1415774.0,-1257.0
광주광역시,2024년04월,1414862.0,-912.0
광주광역시,2024년05월,1414254.0,-608.0
광주광역시,2024년06월,1413606.0,-648.0
광주광역시,2024년07월,1412986.0,-620.0
광주광역시,2024년08월,1412063.0,-923.0
광주광역시,2024년09월,1411357.0,-706.0
광주광역시,2024년10월,1410548.0,-809.0
광주광역시,2024년11월,1409624.0,-924.0
광주광역시,2024년12월,1408422.0,-1202.0
대전광역시,2024년01월,1441562.0,-654.0
대전광역시,2024년02월,1441536.0,-26.0
대전광역시,2024년03월,1441689.0,153.0
대전광역시,2024년04월,1441272.0,-417.0
대전광역시,2024년05월,1441119.0,-153.0
대전광역시,2024년06월,1440558.0,-561.0
대전광역시,2024년07월,1439889.0,-669.0
대전광역시,2024년08월,1439926.0,37.0
대전광역시,2024년09월,1440456.0,530.0
대전광역시,2024년10월,1440094.0,-362.0
대전광역시,2024년11월,1439687.0,-407.0
대전광역시,2024년12월,1439157.0,-530.0
울산광역시,2024년01월,1103402.0,-259.0
울산광역시,2024년02월,1102161.0,-1241.0
울산광역시,2024년03월,1101336.0,-825.0
울산광역시,2024년04월,1101059.0,-277.0
울산광역시,2024년05월,1100609.0,-450.0
울산광역시,2024년06월,1100304.0,-305.0
울산광역시,2024년07월,1099866.0,-438.0
울산광역시,2024년08월,1099231.0,-635.0
울산광역시,2024년09월,1098728.0,-503.0
울산광역시,2024년10월,1098540.0,-188.0
울산광역시,2024년11월,1098312.0,-228.0
울산광역시,2024년12월,1098049.0,-263.0
세종특별자치시,2024년01월,386944.0,419.0
세종특별자치시,2024년02월,387193.0,249.0
세종특별자치시,2024년03월,387411.0,218.0
세종특별자치시,2024년04월,387726.0,315.0
세종특별자치시,2024년05월,387774.0,48.0
세종특별자치시,2024년06월,387940.0,166.0
세종특별자치시,2024년07월,388788.0,848.0
세종특별자치시,2024년08월,389370.0,582.0
세종특별자치시,2024년09월,389443.0,73.0
세종특별자치시,2024년10월,389978.0,535.0
세종특별자치시,2024년11월,390603.0,625.0
세종특별자치시,2024년12월,390685.0,82.0
경기도,2024년01월,13635250.0,4429.0
경기도,2024년02월,13639616.0,4366.0
경기도,2024년03월,13642451.0,2835.0
경기도,2024년04월,13648156.0,5705.0
경기도,2024년05월,13654710.0,6554.0
경기도,2024년06월,13661438.0,6728.0
경기도,2024년07월,13669469.0,8031.0
경기도,2024년08월,13675873.0,6404.0
경기도,2024년09월,13680645.0,4772.0
경기도,2024년10월,13686731.0,6086.0
경기도,2024년11월,13690645.0,3914.0
경기도,2024년12월,13694685.0,4040.0
강원특별자치도,2024년01월,1526243.0,-1564.0
강원특별자치도,2024년02월,1524624.0,-1619.0
강원특별자치도,2024년03월,1524198.0,-426.0
강원특별자치도,2024년04월,1523661.0,-537.0
강원특별자치도,2024년05월,1522952.0,-709.0
강원특별자치도,2024년06월,1522542.0,-410.0
강원특별자치도,2024년07월,1521877.0,-665.0
강원특별자치도,2024년08월,1521066.0,-811.0
강원특별자치도,2024년09월,1520410.0,-656.0
강원특별자치도,2024년10월,1519545.0,-865.0
강원특별자치도,2024년11월,1518700.0,-845.0
강원특별자치도,2024년12월,1517766.0,-934.0
충청북도,2024년01월,1592155.0,-1314.0
충청북도,2024년02월,1590947.0,-1208.0
충청북도,2024년03월,1591044.0,97.0
충청북도,2024년04월,1590854.0,-190.0
충청북도,2024년05월,1591201.0,347.0
충청북도,2024년06월,1591485.0,284.0
충청북도,2024년07월,1591182.0,-303.0
충청북도,2024년08월,1590716.0,-466.0
충청북도,2024년09월,1590858.0,142.0
충청북도,2024년10월,1590704.0,-154.0
충청북도,2024년11월,1591100.0,396.0
충청북도,2024년12월,1591177.0,77.0
충청남도,2024년01월,2130509.0,390.0
충청남도,2024년02월,2131309.0,800.0
충청남도,2024년03월,2132745.0,1436.0
충청남도,2024년04월,2133828.0,1083.0
충청남도,2024년05월,2134618.0,790.0
충청남도,2024년06월,2134817.0,199.0
충청남도,2024년07월,2135171.0,354.0
충청남도,2024년08월,2135281.0,110.0
충청남도,2024년09월,2135373.0,92.0
충청남도,2024년10월,2136010.0,637.0
충청남도,2024년11월,2136632.0,622.0
충청남도,2024년12월,2136574.0,-58.0
전북특별자치도,2024년01월,1752921.0,-1836.0
전북특별자치도,2024년02월,1751318.0,-1603.0
전북특별자치도,2024년03월,1749376.0,-1942.0
전북특별자치도,2024년04월,1748047.0,-1329.0
전북특별자치도,2024년05월,1746912.0,-1135.0
전북특별자치도,2024년06월,1745885.0,-1027.0
전북특별자치도,2024년07월,1744661.0,-1224.0
전북특별자치도,2024년08월,1743183.0,-1478.0
전북특별자치도,2024년09월,1741640.0,-1543.0
전북특별자치도,2024년10월,1740753.0,-887.0
전북특별자치도,2024년11월,1739751.0,-1002.0
전북특별자치도,2024년12월,1738690.0,-1061.0
전라남도,2024년01월,1802672.0,-1545.0
전라남도,2024년02월,1800352.0,-2320.0
전라남도,2024년03월,1798435.0,-1917.0
전라남도,2024년04월,1797199.0,-1236.0
전라남도,2024년05월,1795717.0,-1482.0
전라남도,2024년06월,1794967.0,-750.0
전라남도,2024년07월,1793747.0,-1220.0
전라남도,2024년08월,1792390.0,-1357.0
전라남도,2024년09월,1791496.0,-894.0
전라남도,2024년10월,1790421.0,-1075.0
전라남도,2024년11월,1789610.0,-811.0
전라남도,2024년12월,1788819.0,-791.0
경상북도,2024년01월,2551370.0,-2954.0
경상북도,2024년02월,2548440.0,-2930.0
경상북도,2024년03월,2546960.0,-1480.0
경상북도,2024년04월,2546120.0,-840.0
경상북도,2024년05월,2545421.0,-699.0
경상북도,2024년06월,2544174.0,-1247.0
