진료년도,시도,행위코드,환자수,명세서건수,의료행위총사용량,의료행위청구금액
2024,서울,10100,1975799,2785277,3039481,44394854400
2024,서울,10101,108012,118008,118188,1949535050
2024,서울,10102,7901,8520,8521,144131430
2024,서울,10103,20727,22433,22435,401528800
2024,서울,10140,1,1,3,80130
2024,서울,10180,3,3,4,2009520
2024,서울,10200,1630980,18049546,19341508,1.79E+11
2024,서울,10201,63113,461402,461606,4928624480
2024,서울,10202,6512,42803,42812,483484670
2024,서울,10203,11553,80980,80983,992613080
2024,서울,11011,18,23,287,861570
2024,서울,11041,2,2,4,8880
2024,서울,11042,6,8,16,21600
2024,서울,11043,50,207,4779,3870990
2024,서울,11222,18,23,269,2915740
2024,서울,11232,1296,6683,6683,22789030
2024,서울,11233,1536,6245,6245,14863100
2024,서울,11302,18,23,269,255740
2024,서울,11312,2831,12928,12928,4007680
2024,서울,11402,18,23,269,269190
2024,서울,11412,2192,8645,8645,2852850
2024,서울,11413,639,4283,4283,342640
2024,서울,11600,67,119,155,2323810
2024,서울,11700,4095,11124,14045,208527720
2024,서울,11800,16073,69421,69808,380456390
2024,서울,11900,47,140,140,929600
2024,서울,12060,6,6,6,60000
2024,서울,12064,1,1,1,17000
2024,서울,12200,7,9,76,3629610
2024,서울,12280,1,1,19,2298390
2024,서울,13022,1,1,62,41540
2024,서울,13031,1095,3332,16925,20648500
2024,서울,13032,4026,11440,73976,190196520
2024,서울,13033,2563,4477,49877,271837850
2024,서울,13034,3508,11010,84161,730721040
2024,서울,13035,4486,9742,109533,1353927573
2024,서울,13120,12,15,174,811380
2024,서울,13130,17187,41564,386057,1795876126
2024,서울,13803,1889,2594,34413,37854300
2024,서울,13942,1031,1198,17568,84326400
2024,서울,13943,680,1094,13092,54724560
2024,서울,13952,8018,63859,63859,102174400
2024,서울,13953,1768,8492,8493,11805270
2024,서울,14211,7,9,76,5805020
2024,서울,14811,1,1,19,1358180
2024,서울,15001,41,67,264,528000
2024,서울,15002,67,229,4779,8172090
2024,서울,15004,2,2,4,8760
2024,서울,15005,25,97,2629,2891900
2024,서울,15010,1,1,1,20000
2024,서울,15300,1,1,,13937
2024,서울,15347,1,1,1,30260
2024,서울,153EA,82,108,1242,124546500
2024,서울,153F6,13,13,20,1085800
2024,서울,153G6,4,5,51,2213160
2024,서울,153J0,361,411,203,13356239
2024,서울,153J1,4258,10004,70046,7915840130
2024,서울,153J2,3244,5480,56486,5709758272
2024,서울,153J3,2873,4978,51049,4697364009
2024,서울,153J4,1643,3071,29509,2469937340
2024,서울,153J5,4414,8099,95631,7032745644
2024,서울,153JA,4982,11597,73013,9024265574
2024,서울,153L6,2155,2941,33092,1747992141
2024,서울,153N0,64,75,36,2816525
2024,서울,153N1,1290,2894,19402,2620616930
2024,서울,153N2,1011,1432,19434,2301885271
2024,서울,153N3,374,536,4305,481597690
2024,서울,153N4,198,300,3410,334422140
2024,서울,153N5,843,1409,18420,1522687428
2024,서울,153NA,258,394,3045,449215445
2024,서울,153P6,7,7,7,561330
2024,서울,153Q6,805,1072,10939,690890678
2024,서울,153S0,126,145,76,6978247
2024,서울,153S1,1342,3104,20067,3170144390
2024,서울,153S2,1136,1869,16830,2389285140
2024,서울,153S3,745,1342,10925,1413427322
2024,서울,153S4,272,368,4341,500246800
2024,서울,153S5,1207,1751,20596,2094134726
2024,서울,153SA,1819,3761,19504,3410167768
2024,서울,153U6,1720,2795,32335,2364071810
2024,서울,15400,4,4,60,3253800
2024,서울,154A6,328,513,5000,171154360
2024,서울,154J1,1,1,2,168500
2024,서울,154J6,2334,4161,50216,2720117739
2024,서울,15500,4,5,5,109650
2024,서울,15591,69,234,4790,160961780
2024,서울,15900,1,1,2,
2024,서울,15901,1,1,10,
2024,서울,15902,4,4,9,
2024,서울,15903,1347,2440,16958,200000
2024,서울,16321,4,4,19,44460
2024,서울,16322,15,19,268,745800
2024,서울,16340,1,1,1,3100
2024,서울,16500,3,4,6,9420
2024,서울,18300,55,356,357,14722680
2024,서울,20010,4045,4753,4754,24318712
2024,서울,20020,24709,30862,30882,180827145
2024,서울,20023,8394,9440,9507,109835092
2024,서울,20030,5898,6057,6059,40965204
2024,서울,20031,9463,11161,11161,60828340
2024,서울,20032,147561,171465,171643,887860059
2024,서울,20253,1,1,1,150000
2024,서울,20330,3,3,4,60000
2024,서울,28010,2,2,2,
2024,서울,29003,506,878,881,4913475
2024,서울,29004,2177,2331,2333,45470223
2024,서울,29005,37,39,39,1382648
2024,서울,29011,2,2,2,
2024,서울,29012,77,101,101,
2024,서울,29061,1,1,1,
2024,서울,29062,4,4,4,
2024,서울,29063,298,751,751,
2024,서울,29064,11,11,11,
2024,서울,29070,2,2,2,
2024,서울,30010,555806,5575995,5576346,6468842490
2024,서울,30020,97799,240857,240998,321011211
2024,서울,30030,101430,212622,212893,320410458
2024,서울,30040,17219,31983,32027,53989951
2024,서울,30050,38808,72774,72920,135385193
2024,서울,30060,6081,11129,11139,22617050
2024,서울,30070,31573,67796,67958,149584578
2024,서울,30080,1224,1793,1794,4336884
2024,서울,30090,493,754,754,1919542
2024,서울,30100,14862,22770,22788,65266641
2024,서울,30110,189,235,235,680777
2024,서울,30120,359,452,452,1406521
2024,서울,30130,266,367,367,1212552
2024,서울,30140,3835,7390,7405,25756818
2024,서울,30150,3412,6142,6201,22489994
2024,서울,30160,5384,9826,9837,43578339
2024,서울,30180,843,1354,1360,7235961
2024,서울,30190,79,101,101,671867
2024,서울,30200,10523,15886,105433,128360690
2024,서울,40010,1,2,12,
2024,서울,40011,702585,5579150,5592705,24913352297
2024,서울,40012,1951379,15108585,17199938,1.03E+11
2024,서울,40030,7508,47573,57960,275231763
2024,서울,40040,19685,89955,93191,391978826
2024,서울,40050,162437,873917,1051366,4294035154
2024,서울,40060,806415,4936706,6133933,27091045513
2024,서울,40070,725020,3973058,4278147,19819193213
2024,서울,40080,1463556,11797487,13500947,62202946621
2024,서울,40091,1389324,8904603,9582281,37967623544
2024,서울,40092,3344,20802,26596,114694614
2024,서울,40100,4693,21571,46567,172961968
2024,서울,40121,9779,38619,39531,159445591
2024,서울,40122,64,175,785,2766906
2024,서울,40123,125,224,228,911111
2024,서울,40124,1873,3413,3413,13740768
2024,서울,40125,345,571,571,2307926
2024,서울,40126,54,152,157,633607
2024,서울,40127,113,267,366,1594061
2024,서울,40128,22,29,29,116320
2024,서울,40129,1183,2510,2791,11233189
2024,서울,40131,9987,26375,42654,177103379
2024,서울,40132,4565,9041,10153,41592631
2024,서울,40133,11212,27534,55006,227833978
2024,서울,40134,2123,3981,11499,46316711
2024,서울,40304,179692,1003867,1556718,17354333462
2024,서울,40305,3078,19462,19484,227385741
2024,서울,40306,207735,1254851,1339573,6456991656
2024,서울,40307,763140,4370020,5635525,23090754346
2024,서울,40311,3,7,7,5110
2024,서울,40312,729380,2777258,2811449,26207136121
2024,서울,40313,658674,3478954,3680355,51570990861
2024,서울,40321,729379,4657198,5369615,28346645509
2024,서울,40322,83304,393105,1126072,6401682812
2024,서울,40323,29295,134990,153871,965071364
2024,서울,40400,1408676,3242912,3350653,14687713264
2024,서울,40700,501259,2771388,2880575,6869363933
2024,서울,40701,1459699,8703462,9254129,17021835657
2024,서울,40702,15897,43837,44931,101019595
2024,서울,40710,246557,981968,1005539,25172529926
2024,서울,40720,36061,180525,198647,8492744581
2024,서울,40721,116263,505943,517534,21836642908
2024,서울,40730,906,3296,3296,212756800
2024,서울,45501,198,274,305,2299958
2024,서울,45502,4,4,5,89926
2024,서울,45510,41,99,4046,50660189
2024,서울,45520,6,10,81,655253
2024,서울,45550,177,221,437,4576083
2024,서울,45560,279,410,622,9447872
2024,서울,45571,3962,11948,22162,175277510
2024,서울,45572,137,472,2512,37488710
2024,서울,45580,121,169,1520,18063632
2024,서울,45590,585,1062,1590,31087392
2024,서울,45600,79,159,5240,80242452
2024,서울,51010,3,5,26,1100500
2024,서울,51020,1,1,28,749840
2024,서울,51040,2,41,41,1551440
2024,서울,51050,1,1,1,42030
2024,서울,52010,3,3,4,180380
2024,서울,54010,1,1,1,50000
2024,서울,59001,2141,13441,13732,231519676
2024,서울,59002,539,2728,3042,55063428
2024,서울,59003,1505,3508,3509,139083914
2024,서울,59004,1881,8783,8896,359332878
2024,서울,59102,3033,3075,3076,34680816
2024,서울,59103,1401,5725,5727,128151367
2024,서울,60044,1,1,1,36480
2024,서울,60074,1,1,1,45860
2024,서울,62200,13,17,499,2551870
2024,서울,62300,29005,65724,1548441,7448651780
2024,서울,62400,2504,4568,149433,663742360
2024,서울,63200,7,7,230,1509000
2024,서울,63300,4032,7820,221356,1329867090
2024,서울,63400,3,4,109,672530
2024,서울,66300,1,1,6,37020
2024,서울,67001,82,190,21072,109594827
2024,서울,70010,10530,30992,631602,391715580
2024,서울,70011,19735,47520,1170806,667782860
2024,서울,70014,9,9,9,180000
2024,서울,70020,2241,4132,31350,36381960
2024,서울,70030,23016,55007,1447187,318629890
2024,서울,70054,2,2,2,6000
2024,서울,70064,21,21,21,315000
2024,서울,70071,41,41,41,
2024,서울,70084,1,1,1,10000
2024,서울,70098,14,14,14,135000
2024,서울,70104,12,12,12,393000
2024,서울,70111,5,5,5,
2024,서울,70114,1,1,1,20000
2024,서울,70813,1,1,2,2000
2024,서울,70814,12,12,54,53700
2024,서울,70824,1,1,16,1600
2024,서울,71014,1,1,1,2000
2024,서울,71034,1,1,1,20000
2024,서울,71113,2,2,3,16350
2024,서울,80009,4,4,4,726720
2024,서울,85002,1,1,1,
2024,서울,85006,1,1,1,
2024,서울,90004,1,1,1,16580
2024,서울,90033,5934,6278,6278,129577920
2024,서울,90034,1561,3447,3447,51567120
2024,서울,90401,98631,217733,217788,10226988805
2024,서울,90411,80034,176298,176316,8283241980
2024,서울,90412,411,625,625,14681250
2024,서울,90421,18605,40651,40691,1398710345
2024,서울,90422,74,116,116,1994040
2024,서울,91000,712,6299,6299,625556450
2024,서울,91001,6036,13065,13065,37104600
2024,서울,91002,1686,2070,2070,5878800
2024,서울,91003,44,56,56,159040
2024,서울,91004,173,207,207,587880
2024,서울,92012,10,72,72,
2024,서울,94100,70911,81162,81220,243660000
2024,서울,A0391,32,32,57,10657200
2024,서울,A1100,41,56,71,4774640
2024,서울,A1101,4,5,35,2847390
2024,서울,A1191,786,3274,59481,4919428940
2024,서울,A1192,24,65,1116,89064480
2024,서울,A2100,823,1526,3148,184058910
2024,서울,A2101,70,173,3623,257277700
2024,서울,A2191,11644,63179,1414788,1.03E+11
2024,서울,A2192,414,1311,27604,1964220350
2024,서울,A2193,22,42,803,56052210
2024,서울,A2500,15,23,459,25562620
2024,서울,A2550,1,1,1,45250
2024,서울,A2900,139,224,344,5620960
2024,서울,A3000,11,50,1148,4821600
2024,서울,A3100,1556,2494,6586,315365940
2024,서울,A3101,69,145,2843,171869050
2024,서울,A3191,11037,38798,883183,55290762120
2024,서울,A3192,306,803,18008,1087209000
