발생연도,성별,국제질병분류,암종,연령군,발생자수,조발생률
1999,남녀전체,00. All cancers,모든암,00-04세,540,16.1
1999,남녀전체,00. All cancers,모든암,05-09세,297,8.6
1999,남녀전체,00. All cancers,모든암,10-14세,306,9.6
1999,남녀전체,00. All cancers,모든암,15-19세,529,13.2
1999,남녀전체,00. All cancers,모든암,20-24세,720,18.4
1999,남녀전체,00. All cancers,모든암,25-29세,1539,33.5
1999,남녀전체,00. All cancers,모든암,30-34세,2682,60.8
1999,남녀전체,00. All cancers,모든암,35-39세,4967,110.9
1999,남녀전체,00. All cancers,모든암,40-44세,7014,181.5
1999,남녀전체,00. All cancers,모든암,45-49세,7531,278.8
1999,남녀전체,00. All cancers,모든암,50-54세,9307,419.5
1999,남녀전체,00. All cancers,모든암,55-59세,12860,607.5
1999,남녀전체,00. All cancers,모든암,60-64세,14664,841
1999,남녀전체,00. All cancers,모든암,65-69세,13161,1077.8
1999,남녀전체,00. All cancers,모든암,70-74세,11142,1331.6
1999,남녀전체,00. All cancers,모든암,75-79세,8575,1509.2
1999,남녀전체,00. All cancers,모든암,80-84세,4120,1387.8
1999,남녀전체,00. All cancers,모든암,85세이상,1900,1051.8
1999,남녀전체,00. All cancers,모든암,연령전체,101854,216
1999,남자,00. All cancers,모든암,00-04세,324,18.4
1999,남자,00. All cancers,모든암,05-09세,165,8.9
1999,남자,00. All cancers,모든암,10-14세,165,9.9
1999,남자,00. All cancers,모든암,15-19세,273,13.2
1999,남자,00. All cancers,모든암,20-24세,282,14
1999,남자,00. All cancers,모든암,25-29세,569,24.2
1999,남자,00. All cancers,모든암,30-34세,900,39.9
1999,남자,00. All cancers,모든암,35-39세,1937,84.3
1999,남자,00. All cancers,모든암,40-44세,3059,154.7
1999,남자,00. All cancers,모든암,45-49세,3908,284.5
1999,남자,00. All cancers,모든암,50-54세,5503,494.5
1999,남자,00. All cancers,모든암,55-59세,8123,795.9
1999,남자,00. All cancers,모든암,60-64세,9718,1213
1999,남자,00. All cancers,모든암,65-69세,8344,1663.8
1999,남자,00. All cancers,모든암,70-74세,6689,2133.4
1999,남자,00. All cancers,모든암,75-79세,4927,2451.2
1999,남자,00. All cancers,모든암,80-84세,2188,2422.3
1999,남자,00. All cancers,모든암,85세이상,809,1949.7
1999,남자,00. All cancers,모든암,연령전체,57883,244.4
1999,여자,00. All cancers,모든암,00-04세,216,13.6
